94,205,92,82,64,146,104,115,110,73,161,62
112,224,91,79,58,149,123,110,133,64,170,77
112,219,102,95,57,152,135,170,125,69,181,71
117,187,95,116,54,154,142,143,91,76,191,66
133,171,128,121,68,152,121,149,63,75,194,35
146,193,163,126,80,169,118,138,67,81,155,28
166,167,195,135,95,176,91,139,84,94,138,29
189,157,210,181,83,166,84,175,96,97,152,35
208,167,205,201,101,176,87,154,50,110,115,40
215,175,175,287,141,179,95,119,63,126,136,40
210,160,131,176,119,174,89,104,64,134,120,44
200,174,113,168,129,172,79,110,71,111,97,54
197,186,94,145,125,192,84,112,73,108,61,58
190,191,98,157,112,187,94,119,71,117,49,64
205,197,97,163,107,187,94,131,83,122,39,71
212,213,113,155,118,177,93,111,52,120,43,77
211,220,134,165,170,173,91,133,103,136,43,71
210,208,177,229,203,147,92,89,96,130,47,56
208,206,155,232,225,162,96,98,141,134,66,47
195,182,113,261,227,184,120,99,133,154,70,54
199,145,109,273,216,185,139,107,130,154,50,50
197,139,139,269,232,203,132,109,153,137,69,45
205,130,169,289,253,209,125,103,166,131,77,50
219,117,177,297,258,209,141,91,142,115,61,54
